Work, Count
blanches,=6
petites,=165
mécanique{elle,=2
américains,=3
nul,=1
bon,=274
salées,=2
aune,=1
las,=1
lointaine,=1
vraie,=8
dodu,=3
délicat,=1
ouvres,=1
entière,=2
verte,=61
coquine,=2
inquiet,=2
bas,=29
noires,=4
brun,=37
ronde,=2
énorme,=6
curieuse,=1
dure,=1
pauvres,=2
nombreuses,=1
ravissante,=1
méchant,=31
vilain,=2
facil,=1
quatrième,=1
italien,=4
mécanique,=42
neufs,=1
câlins,=1
pouce,=1
neuves,=1
aies,=1
solaire,=1
allongée,=1
acoustique,=2
pénible,=2
léger,=2
jeune,=13
cuit,=1
gentils,=1
vert,=52
rigolo,=7
médicaux,=1
mécaniques,=5
dur,=61
certain,=1
intéressantes,=1
rousse,=10
aiguës,=1
gourmands,=1
roses,=6
{,=1
particulier,=1
pendantes,=1
triste,=3
malins,=1
quatres,=2
courte,=1
moindre,=4
perturbateur,=1
munis,=1
molle,=1
final,=4
grand,=244
difficile,=4
parterre,=1
taupe,=2
géant,=5
particulière,=5
violet,=2
vaste,=1
méchantes,=1
amusé,=1
désobéissants,=3
horrible,=1
technique,=1
blonds,=1
ton,=23
tordue,=1
impeccable,=1
morphologique,=1
foncé,=7
suisse,=1
gourmand,=1
joli,=56
identiques,=1
jaune,=93
malin,=2
frais,=3
verts,=12
chouette,=2
propres,=2
fous,=2
rusé,=2
double,=3
magnifique,=1
sensible,=1
recherchais,=1
douzième,=2
collé,=1
anciens,=1
pointues,=3
cane,=1
sacrée,=2
râpées,=1
plein,=117
en_bas,=7
gros,=280
exagères,=3
zéro,=2
blond,=1
lourde,=3
intéressant,=9
hérisson,=1
dingo,=1
ça_y_est,=2
rouges,=27
amateur,=2
fameux,=1
prochain,=9
Petit_Pas,=3
sauvages,=2
clair,=7
trompe,=1
grise,=1
adulte,=1
folle,=2
moi}.,=1
plastiques,=1
nouvelles,=7
caché,=8
bleus,=17
complémentaires,=1
périlleux,=1
propre,=10
différente,=1
jolie,=19
élastiques,=1
magique,=20
seule,=17
tel,=2
effroyables,=1
cinquième,=1
bête,=1
mienne,=2
rase,=1
ailé,=1
collective,=1
maussade,=1
minuscule,=8
jalouses,=1
radieux,=1
carrée,=1
premier,=19
cette,=1
habillé:}.,=1
cassée,=2
vides,=3
fausse,=2
magiques,=1
dingue,=1
géants,=1
stupide,=1
entièr,=1
grognon,=1
froide,=2
brute,=3
juste,=6
bruyants,=1
nécessaire,=1
troisième,=8
fou,=6
malheureux,=2
incroyable,=1
des::petites,=1
imagines,=1
rouge,=177
perplexe,=1
court,=24
petite,=633
marrons,=2
premières,=2
feutre,=1
meilleure,=1
délicieux,=1
ras,=1
vieilles,=1
grave,=2
génial,=1
petit,=954
grandes,=63
derniers,=2
craquantes,=1
bonne,=96
discrèt,=1
normal,=7
petits,=245
tranquilles,=1
marrant,=5
mêmes,=43
sucrées,=1
exceptionnel,=1
solides,=1
sale,=7
blanc,=29
différents,=1
adorable,=1
bleue,=31
vieil,=2
malade,=3
évident,=1
mini,=1
dures,=1
linguistique,=1
volant,=1
professionnelle,=1
brunes,=1
modernes,=1
spécial,=1
officiel,=1
rouge{pour,=1
beau,=140
prochaine,=26
préférés,=1
Petit,=9
gauche,=12
sage,=4
super,=11
cassés,=1
fleuri,=3
déterminante,=1
immonde,=1
dernière,=47
désagréable,=2
bon}.,=5
vertes,=6
jeunes,=1
Peureux.,=1
calme,=3
compris,=7
suivante,=4
domestique,=1
contente,=3
heureuse,=1
mauvais,=9
renarde,=1
seconde,=1
beurré,=1
noir,=24
ancienne,=1
déguisé,=2
longue,=5
coquin,=9
pompier,=6
tordu,=1
Noune,=2
sauvage,=1
quels,=2
longues,=3
sûre,=3
fantôme}.,=2
autres,=70
terrible,=4
content,=7
doux,=2
fermés,=1
mince,=2
favori,=1
vive,=1
chéris,=4
timide,=1
efficace,=4
bizarre,=4
tiède,=2
belles,=16
cygnes,=1
grasses,=3
scintille,=1
glauque,=1
japonaise,=1
tous,=5
Mar,=1
rose,=47
clefs,=1
secret,=1
basse,=3
bleues,=13
crapule,=1
joyeux,=4
fragiles,=1
même,=270
affamé,=1
deux,=1
rondes,=1
effrayante,=4
douces,=3
minces,=1
coincé,=5
droit,=2
blanche,=13
sûr,=7
para,=1
vide,=1
nouvel,=1
sinueux,=1
deux}{deux,=2
chaise+longue,=1
bleu,=12
difficiles,=1
quelque,=2
vieux,=10
arabes,=2
principal,=1
soigneux,=1
entier,=8
jolies,=7
agréable,=4
faux,=2
fameuse,=1
tits,=310
blancs,=7
sérieuses,=1
différent,=1
excité,=1
remarque,=1
tricolore,=1
beaux,=14
complet,=2
utiles,=1
calmes,=1
couteau,=1
ennemis,=1
bons,=2
plastique,=4
extraordinaire,=1
pareil,=10
